ID_emp,Name,last_name,birth_date,Gender,area,salary,start_date,finish_date,promotion_date,type,fecha,hora,age
00-1222963,Tobiah,Fruchon,1991-10-17,female,Services,138757,2011-02-13,NULL,,Hybrid,NULL,NULL,32
00-1268049,Fay,Monnelly,1966-07-09,male,Engineering,111994,2010-02-24,"2030-03-21 03:56:25",,Hybrid,2030-03-21,03:56:25,57
00-1277358,Lola,Burrells,1973-10-02,male,"Human Resources",132408,2008-03-08,"2024-10-09 10:07:08",,Remote,2024-10-09,10:07:08,50
00-1284831,Hamel,Edgeler,1973-12-22,male,"Human Resources",152256,2001-08-08,"2007-10-31 20:13:44",,Hybrid,2007-10-31,20:13:44,49
00-1331085,Shalne,Berntssen,1979-05-20,female,"Business Development",132654,2008-12-19,NULL,,Remote,NULL,NULL,44
00-1418617,Nefen,Russan,1997-02-18,female,Training,120834,2007-01-21,NULL,,Remote,NULL,NULL,26
00-1451930,Woodie,Hayhow,1995-01-18,female,Engineering,170827,2001-08-04,NULL,,Remote,NULL,NULL,28
00-1485605,L;urette,Stango,1991-04-13,male,Training,124715,2016-11-29,NULL,,Hybrid,NULL,NULL,32
00-1499371,Claude,Ales0,1984-04-29,female,Sales,126534,2014-03-31,NULL,,Remote,NULL,NULL,39
00-1557949,Virginia,Teligin,1982-12-25,female,Engineering,119752,2014-06-27,NULL,,Hybrid,NULL,NULL,40
00-1695354,Starr,Yitzhok,1998-04-11,female,Training,99040,2011-07-14,NULL,,Remote,NULL,NULL,25
00-1722938,Perla,Durrand,1976-03-11,male,Sales,178809,2014-01-01,"2023-01-10 00:20:48",,Remote,2023-01-10,00:20:48,47
00-1728402,Mahala,McTrustie,1974-06-07,female,"Business Development",118730,2015-04-15,NULL,,Hybrid,NULL,NULL,49
00-1735797,Hobart,Bertrand,1997-03-22,female,"Business Development",129612,2019-09-17,NULL,,Hybrid,NULL,NULL,26
00-1792130,Nobe,Leathe,1993-07-23,male,Engineering,174045,2011-01-23,"2024-12-07 02:16:22",,Remote,2024-12-07,02:16:22,30
00-1830166,Peta,Gosson,1975-06-02,female,"Human Resources",146252,2007-06-02,NULL,,Remote,NULL,NULL,48
00-1861400,Ninnette,Batter,1993-03-11,male,"Business Development",152349,2008-02-04,NULL,,Remote,NULL,NULL,30
00-1877605,Bibbie,Matteoli,1997-06-18,male,Support,74632,2008-05-05,"2024-03-02 16:38:02",,Remote,2024-03-02,16:38:02,26
00-1892609,Averell,Paintain,1971-10-25,female,"Research and Development",118943,2013-01-02,NULL,,Remote,NULL,NULL,52
00-1954462,Marcel,Fowkes,1993-06-18,male,Accounting,123127,2008-07-20,NULL,,Remote,NULL,NULL,30
00-1957612,Artus,Cawcutt,1970-02-28,female,Services,110278,2005-07-08,"2012-08-01 16:03:54",,Remote,2012-08-01,16:03:54,53
00-2010536,Emili,Cowl,1978-05-10,male,Engineering,160528,2009-07-30,NULL,,Hybrid,NULL,NULL,45
00-2209303,Edeline,Painten,1978-03-16,male,Services,172415,2011-01-17,NULL,,Remote,NULL,NULL,45
00-2228674,Meggi,"Mc Ilory",1987-09-09,male,Training,152355,2005-11-30,NULL,,Remote,NULL,NULL,36
00-2229651,Giordano,Muckian,1984-08-21,female,"Business Development",126833,2004-04-11,NULL,,Hybrid,NULL,NULL,39
00-2260658,Nickolas,Coopey,1978-05-21,male,Support,135192,2001-01-02,NULL,,Hybrid,NULL,NULL,45
00-2301130,Corrina,Blooman,1971-10-19,female,Services,155224,2013-07-28,NULL,,Hybrid,NULL,NULL,52
00-2334565,Odey,Brough,1992-12-19,male,Engineering,143824,2011-08-27,NULL,,Hybrid,NULL,NULL,30
00-2367299,Lenka,Astridge,2000-12-01,male,"Human Resources",134657,2019-08-13,NULL,,Hybrid,NULL,NULL,23
00-2509034,Gunar,Dinkin,1988-11-27,male,Training,109088,2017-12-19,NULL,,Hybrid,NULL,NULL,35
00-2607971,Gale,Dreossi,1972-06-16,male,Auditing,74124,2006-02-02,"2018-07-01 03:10:13",,Remote,2018-07-01,03:10:13,51
00-2623755,Chrysa,Brownell,1983-04-25,male,Engineering,150586,2018-02-22,"2027-02-01 04:34:24",,Remote,2027-02-01,04:34:24,40
00-2637590,Britte,Royds,1980-03-06,male,Training,84336,2016-05-05,NULL,,Hybrid,NULL,NULL,43
00-2682864,Bil,Wanden,1982-06-28,male,Engineering,101508,2009-02-24,NULL,,Remote,NULL,NULL,41
00-2704725,Ronda,Dictus,1975-11-28,female,Training,139256,2003-12-07,NULL,,Remote,NULL,NULL,48
00-2709445,Loree,Neno,1977-01-16,female,"Research and Development",87404,2017-04-26,NULL,,Hybrid,NULL,NULL,46
00-2773154,Teena,Tolan,1992-09-11,male,"Human Resources",88845,2014-02-11,NULL,,Remote,NULL,NULL,31
00-2861998,Karine,Seage,1966-09-07,male,Training,112030,2017-08-12,NULL,,Remote,NULL,NULL,57
00-2874422,Diandra,Bourget,1971-04-06,male,"Human Resources",133999,2003-07-26,"2015-01-14 06:02:41",,Remote,2015-01-14,06:02:41,52
00-2889513,Dodi,Caves,1999-07-05,male,"Business Development",85942,2004-11-16,NULL,,Hybrid,NULL,NULL,24
00-2950779,Hyman,Dancey,1981-04-23,female,Training,179502,2015-06-10,NULL,,Hybrid,NULL,NULL,42
00-3008455,Rourke,Dawkins,1969-09-26,male,"Business Development",81067,2007-10-28,NULL,,Hybrid,NULL,NULL,54
00-3020430,Northrup,Arendt,2001-12-01,male,Services,181268,2011-09-06,NULL,,Hybrid,NULL,NULL,22
00-3030708,Guntar,Arro,1997-04-22,female,"Business Development",147374,2020-11-16,NULL,,Remote,NULL,NULL,26
00-3052411,Midge,Orpyne,1984-01-04,female,Engineering,121893,2010-07-21,NULL,,Hybrid,NULL,NULL,39
00-3105004,Isador,Crady,1968-06-08,female,Training,171873,2020-11-19,NULL,,Remote,NULL,NULL,55
00-3135807,Nichol,Dionisii,1994-08-28,female,"Business Development",153741,2017-02-19,NULL,,Remote,NULL,NULL,29
00-3138749,Dorey,Diperaus,1978-12-20,male,Sales,80905,2006-04-06,NULL,,Remote,NULL,NULL,44
00-3208324,Lanie,Plewes,1992-07-25,female,Support,103460,2008-03-01,NULL,,Hybrid,NULL,NULL,31
00-3214670,Mahmoud,"De L'Isle",1990-09-04,male,Accounting,97531,2010-03-06,NULL,,Hybrid,NULL,NULL,33
00-3217869,Carlynne,Gouldthorpe,1968-04-11,female,Accounting,93766,2009-08-17,NULL,,Remote,NULL,NULL,55
00-3334414,Modesta,Lanktree,1997-02-13,female,Engineering,118405,2002-04-30,NULL,,Hybrid,NULL,NULL,26
00-3341718,Tildie,Ranvoise,1982-08-13,male,Engineering,92899,2007-08-21,NULL,,Remote,NULL,NULL,41
00-3389894,Tallulah,Dowty,1983-01-26,male,Engineering,75079,2006-02-02,NULL,,Remote,NULL,NULL,40
00-3402094,Addie,Coldman,2002-07-10,female,Engineering,184325,2011-09-25,NULL,,Hybrid,NULL,NULL,21
00-3457300,Eleanore,Pudner,1996-12-13,female,Engineering,114513,2002-02-28,NULL,,Remote,NULL,NULL,26
00-3492248,Carlene,Goldwater,1975-01-19,female,"Business Development",66760,2019-02-25,NULL,,Hybrid,NULL,NULL,48
00-3597335,Amara,Jacobs,1982-06-14,male,Sales,86754,2006-02-07,NULL,,Remote,NULL,NULL,41
00-3679205,Heall,Conville,1994-05-08,male,Training,93624,2010-11-12,NULL,,Remote,NULL,NULL,29
00-3739286,Jake,Dawdry,1993-02-26,male,Engineering,147458,2019-09-30,NULL,,Hybrid,NULL,NULL,30
00-3744044,Maribelle,Bisson,1998-06-22,female,Training,108538,2016-01-21,NULL,,Hybrid,NULL,NULL,25
00-3758963,Calypso,Connold,1984-09-27,female,"Business Development",131425,2001-11-22,NULL,,Hybrid,NULL,NULL,39
00-3855769,Tanitansy,Fancett,1995-05-30,female,"Human Resources",90354,2005-10-31,NULL,,Hybrid,NULL,NULL,28
00-3860994,Allyce,Giacobazzi,1969-04-04,male,Marketing,100936,2019-12-27,"2022-12-26 02:31:43",,Remote,2022-12-26,02:31:43,54
00-3961040,Filberte,Morant,1977-10-27,male,Engineering,180378,2002-03-06,NULL,,Hybrid,NULL,NULL,46
00-3964552,Sergei,Glidden,1996-02-15,male,"Product Management",101912,2016-11-04,NULL,,Hybrid,NULL,NULL,27
00-3987484,Chelsy,Clacey,1991-09-12,female,Training,104211,2006-01-30,"2021-07-23 05:08:46",,Hybrid,2021-07-23,05:08:46,32
00-4123013,Romy,Sandever,1969-01-20,male,"Research and Development",159712,2011-08-12,NULL,,Remote,NULL,NULL,54
00-4202411,Rorie,Rice,1982-03-13,male,Engineering,114677,2014-07-16,NULL,,Hybrid,NULL,NULL,41
00-4254147,Karel,Gullen,1993-12-18,male,Sales,95319,2013-03-08,NULL,,Hybrid,NULL,NULL,29
00-4259069,Marcela,Bostock,1979-01-09,male,Engineering,76586,2005-01-01,NULL,,Hybrid,NULL,NULL,44
00-4464648,Agretha,Brunning,1978-02-15,female,Engineering,105639,2017-04-28,NULL,,Remote,NULL,NULL,45
00-4481784,Willdon,Pirozzi,1997-03-28,female,Support,125642,2016-03-12,NULL,,Hybrid,NULL,NULL,26
00-4521988,Paddie,Mallebone,1967-11-22,male,"Human Resources",165021,2016-07-04,NULL,,Remote,NULL,NULL,56
00-4585118,Karina,Slocum,1993-09-19,female,Services,91542,2018-12-23,NULL,,Hybrid,NULL,NULL,30
00-4609499,Gun,Heathorn,1978-10-30,male,Services,119007,2015-12-25,NULL,,Hybrid,NULL,NULL,45
00-4634919,Dario,Renshall,1971-01-07,female,Accounting,176947,2011-04-10,NULL,,Hybrid,NULL,NULL,52
00-4767568,Bartholemy,Schutter,1975-09-27,male,Services,109279,2009-07-06,NULL,,Remote,NULL,NULL,48
00-4872960,Gamaliel,McRoberts,1978-11-10,male,Accounting,169540,2019-12-30,NULL,,Remote,NULL,NULL,45
00-4890880,Demetre,Chaulk,1977-03-20,male,Sales,178594,2014-03-05,NULL,,Remote,NULL,NULL,46
00-4971801,Temple,Banasevich,1991-05-14,female,Engineering,131359,2020-10-11,NULL,,Hybrid,NULL,NULL,32
00-5033764,Gabie,Olivier,1976-12-25,male,Engineering,155030,2005-06-23,NULL,,Hybrid,NULL,NULL,46
00-5045552,Carlen,Bruhnke,1990-08-06,male,Engineering,119193,2016-07-18,NULL,,Remote,NULL,NULL,33
00-5070457,Nathaniel,Coolahan,1998-12-02,female,Accounting,84675,2003-07-22,NULL,,Remote,NULL,NULL,25
00-5137192,Sarajane,Price,1970-01-28,male,Accounting,180400,2016-05-24,NULL,,Hybrid,NULL,NULL,53
00-5155617,Hadria,Pallasch,1987-04-13,male,Engineering,98277,2016-12-02,NULL,,Hybrid,NULL,NULL,36
00-5175297,Bethina,Mathissen,1966-01-24,female,Engineering,154164,2001-12-23,"2012-03-28 19:48:37",,Hybrid,2012-03-28,19:48:37,57
00-5221572,Joshua,Rubinsohn,1976-04-05,male,Services,180107,2006-07-12,NULL,,Hybrid,NULL,NULL,47
00-5273292,Philippa,Garrod,1986-09-14,female,"Product Management",110784,2012-03-29,NULL,,Hybrid,NULL,NULL,37
00-5421994,Sile,Schultheiss,1986-01-23,female,Accounting,103290,2012-12-10,"2021-10-28 00:45:49",,Remote,2021-10-28,00:45:49,37
00-5614221,Conroy,Vickars,1969-08-28,male,"Business Development",153512,2008-01-03,NULL,,Hybrid,NULL,NULL,54
00-5623981,Roscoe,Swindells,1979-04-28,female,Accounting,174120,2012-12-22,NULL,,Hybrid,NULL,NULL,44
00-5649238,Antonietta,Obal,1977-11-03,male,Engineering,173686,2003-02-13,"2008-06-24 19:59:00",,Remote,2008-06-24,19:59:00,46
00-5687686,Yettie,Swanborough,1993-07-03,male,Sales,98038,2001-03-22,NULL,,Hybrid,NULL,NULL,30
00-5880378,Dannie,Thornton-Dewhirst,2000-10-18,female,Accounting,151416,2002-12-12,"2019-05-30 07:37:54",,Remote,2019-05-30,07:37:54,23
00-5895027,Nessy,Shute,1982-04-05,male,Engineering,100069,2004-04-13,NULL,,Remote,NULL,NULL,41
00-5909899,Louise,Domingues,1977-04-26,male,"Research and Development",102872,2014-04-05,NULL,,Remote,NULL,NULL,46
00-5917185,Frasquito,Frape,1972-08-02,male,Engineering,125066,2002-06-29,"2012-08-16 08:21:32",,Remote,2012-08-16,08:21:32,51
00-5955583,Leonie,Bridgeman,1997-11-17,male,Training,92378,2009-04-11,NULL,,Remote,NULL,NULL,26
00-5958157,Marijn,Shotboulte,1984-07-11,male,Accounting,84983,2017-09-16,NULL,,Remote,NULL,NULL,39
00-5965019,Gertrud,Jeavon,1987-06-11,female,"Research and Development",141441,2008-03-14,NULL,,Remote,NULL,NULL,36
00-5992394,Gordie,Mariaud,1990-07-24,male,Accounting,121775,2011-05-29,NULL,,Hybrid,NULL,NULL,33
00-5993032,Corrinne,Very,1991-05-27,male,"Research and Development",86661,2005-06-21,"2015-03-23 18:00:04",,Hybrid,2015-03-23,18:00:04,32
00-6077710,Frank,Sikorsky,1998-02-10,male,Engineering,77945,2007-08-01,NULL,,Hybrid,NULL,NULL,25
00-6093562,Linoel,Berrecloth,1973-07-19,male,Engineering,141146,2006-11-06,NULL,,Hybrid,NULL,NULL,50
00-6114236,Lucias,Sworder,1997-03-01,male,Engineering,167127,2007-10-31,NULL,,Hybrid,NULL,NULL,26
00-6163624,Malvina,"Mc Grath",2001-09-12,male,Engineering,129922,2005-05-17,"2009-11-03 01:38:32",,Hybrid,2009-11-03,01:38:32,22
00-6172539,Joanne,Jacob,1974-04-13,female,Engineering,106650,2003-02-03,NULL,,Remote,NULL,NULL,49
00-6252646,Yves,Yurivtsev,1990-09-19,male,"Human Resources",179943,2019-07-13,NULL,,Remote,NULL,NULL,33
00-6338870,Curtice,Kidgell,1980-03-14,female,Engineering,67616,2018-03-18,"2023-03-24 22:54:39",,Remote,2023-03-24,22:54:39,43
00-6371948,Ruby,O'Duilleain,1986-05-10,female,"Business Development",139305,2008-09-07,"2012-01-09 20:55:22",,Remote,2012-01-09,20:55:22,37
00-6420231,Joseito,Walaron,1975-05-16,male,Services,182319,2006-11-02,NULL,,Remote,NULL,NULL,48
00-6460144,Helli,Hothersall,1990-01-24,male,Engineering,87548,2012-06-22,NULL,,Remote,NULL,NULL,33
00-6479395,Aura,Steagall,1978-07-19,male,Accounting,164594,2013-03-28,"2030-02-23 03:54:13",,Remote,2030-02-23,03:54:13,45
00-6565696,Flory,Ibbitt,1968-03-09,female,"Human Resources",160270,2009-08-13,"2014-06-03 03:40:16",,Hybrid,2014-06-03,03:40:16,55
00-6609229,Leontine,Rammell,1986-08-15,female,"Product Management",98878,2001-11-10,NULL,,Hybrid,NULL,NULL,37
00-6666091,Carly,Everall,1966-12-25,female,Support,141114,2004-01-11,NULL,,Remote,NULL,NULL,56
00-6675478,Reginald,Gosker,1979-10-13,female,Engineering,133844,2020-10-17,NULL,,Hybrid,NULL,NULL,44
00-6722855,Kimmi,Moff,1996-03-08,male,Engineering,146729,2001-04-04,NULL,,Hybrid,NULL,NULL,27
00-6768311,Adina,Marcq,1991-01-16,female,Engineering,128676,2007-12-18,NULL,,Remote,NULL,NULL,32
00-6790860,Enrica,Cohalan,1994-01-23,female,Engineering,147439,2009-04-26,NULL,,Hybrid,NULL,NULL,29
00-6792940,Valera,Hannent,1993-02-14,male,Engineering,182104,2017-05-29,NULL,,Hybrid,NULL,NULL,30
00-6797967,Albrecht,Geffinger,1980-01-18,female,Sales,171215,2018-11-19,NULL,,Hybrid,NULL,NULL,43
00-6804149,Orsa,Pafford,1994-12-25,male,"Human Resources",174195,2001-12-21,NULL,,Hybrid,NULL,NULL,28
00-6902222,Pall,Snedker,1969-04-07,male,Support,115852,2009-10-04,"2014-01-31 00:17:22",,Remote,2014-01-31,00:17:22,54
00-6974128,Eilis,Byford,1966-05-07,male,Engineering,86523,2014-11-04,NULL,,Remote,NULL,NULL,57
00-7012064,Maridel,Canario,1990-11-17,male,Engineering,149261,2018-08-18,NULL,,Remote,NULL,NULL,33
00-7043366,Mellie,Hariot,1983-11-25,female,Engineering,72130,2013-02-06,NULL,,Remote,NULL,NULL,40
00-7080550,Stefan,Orht,1988-03-01,male,"Business Development",109170,2018-04-04,NULL,,Hybrid,NULL,NULL,35
00-7080839,Bertie,"La Batie",1991-12-04,male,Services,118723,2016-06-12,NULL,,Remote,NULL,NULL,31
00-7102476,Cammy,Bleakman,1983-08-12,male,Accounting,163199,2003-05-06,NULL,,Hybrid,NULL,NULL,40
00-7374971,Theodor,Perot,1989-09-11,male,Engineering,141898,2009-06-13,NULL,,Remote,NULL,NULL,34
00-7494159,Lu,Larive,1999-08-13,female,"Human Resources",135078,2004-05-31,"2010-12-03 06:19:28",,Hybrid,2010-12-03,06:19:28,24
00-7507889,Marietta,Marieton,1995-03-30,male,"Human Resources",124199,2008-07-31,NULL,,Remote,NULL,NULL,28
00-7598768,Monte,"How to preserve",1972-10-20,female,Engineering,87788,2016-10-16,NULL,,Remote,NULL,NULL,51
00-7685590,Emanuele,Scotts,1986-10-19,male,Engineering,157506,2019-08-26,NULL,,Remote,NULL,NULL,37
00-7693501,Kiley,Ricci,1972-03-15,female,Training,149623,2003-08-03,NULL,,Remote,NULL,NULL,51
00-7726076,Pavel,Corsor,1976-02-14,female,Services,154864,2017-02-02,NULL,,Remote,NULL,NULL,47
00-7766529,Nikaniki,Nurdin,1995-06-28,male,Accounting,68439,2019-06-29,NULL,,Remote,NULL,NULL,28
00-7800396,Siward,Phelipeaux,1981-03-29,male,"Business Development",115788,2003-02-09,"2016-01-11 09:20:25",,Remote,2016-01-11,09:20:25,42
00-7802037,Kaylee,Lambdin,1965-11-01,female,Engineering,174420,2003-03-09,NULL,,Remote,NULL,NULL,58
00-7925080,Chrisy,Risen,1985-07-23,female,Engineering,175768,2011-02-03,"2018-06-05 07:01:43",,Remote,2018-06-05,07:01:43,38
00-8010185,Tab,Lissemore,2000-11-25,female,"Business Development",157628,2005-12-03,"2012-02-21 20:12:05",,Remote,2012-02-21,20:12:05,23
00-8113601,Rem,Hassey,1995-05-23,male,Accounting,134748,2008-05-29,NULL,,Remote,NULL,NULL,28
00-8203294,Brianna,Dudin,1988-02-15,female,Engineering,121704,2017-12-18,NULL,,Remote,NULL,NULL,35
00-8230593,Sheppard,Klosges,1992-10-25,male,"Product Management",174964,2010-08-22,"2017-12-30 08:38:51",,Hybrid,2017-12-30,08:38:51,31
00-8250034,Karlen,Duckworth,1981-11-03,male,"Human Resources",81548,2010-05-19,"2023-01-17 02:59:42",,Hybrid,2023-01-17,02:59:42,42
00-8270076,Raphaela,Clowney,1971-11-02,male,Engineering,141259,2010-03-06,"2030-08-03 09:10:37",,Remote,2030-08-03,09:10:37,52
00-8302867,Idalia,Sherborne,1968-04-21,female,Services,168491,2016-07-07,"2028-03-12 22:16:52",,Hybrid,2028-03-12,22:16:52,55
00-8320940,Terence,MacConnechie,1965-10-26,male,Engineering,177085,2004-08-11,NULL,,Remote,NULL,NULL,58
00-8429312,Shane,Ousbie,1966-12-12,male,Training,168549,2005-07-04,NULL,,Hybrid,NULL,NULL,56
00-8477498,Cammi,Yakebovitch,1965-11-15,male,"Research and Development",176576,2004-01-04,NULL,,Hybrid,NULL,NULL,58
00-8477624,Tomkin,"Di Ruggiero",1993-10-24,male,Sales,109998,2010-02-18,NULL,,Remote,NULL,NULL,30
00-8527252,Leanor,Gemnett,1974-07-31,male,Sales,117267,2013-07-20,NULL,,Hybrid,NULL,NULL,49
00-8536569,Sterling,Prue,1966-03-28,female,"Human Resources",152763,2004-03-22,"2005-03-23 03:58:55",,Hybrid,2005-03-23,03:58:55,57
00-8541630,Loydie,Platts,1970-07-20,male,"Human Resources",103622,2012-06-07,NULL,,Remote,NULL,NULL,53
00-8542295,Darius,Birchenough,1968-09-12,male,"Research and Development",109535,2018-02-16,NULL,,Remote,NULL,NULL,55
00-8571626,Jenn,Whitecross,1972-08-31,male,Training,81104,2010-01-11,NULL,,Hybrid,NULL,NULL,51
00-8586665,Glenna,Owbrick,1993-01-01,male,Accounting,150508,2011-07-07,NULL,,Remote,NULL,NULL,30
00-8679134,Lindy,Colliver,1992-04-20,female,"Business Development",116568,2003-01-28,NULL,,Hybrid,NULL,NULL,31
00-8679430,Lorianna,Mitten,1971-10-09,female,Accounting,168875,2001-02-10,"2018-11-16 09:54:34",,Hybrid,2018-11-16,09:54:34,52
00-8679766,Modesty,O'Spellissey,1982-06-29,female,Services,129938,2009-10-15,NULL,,Remote,NULL,NULL,41
00-8704487,Lorain,Kibbe,1983-06-19,female,Accounting,112499,2015-07-27,NULL,,Remote,NULL,NULL,40
00-8712138,Gabie,Lawleff,1968-08-30,female,Training,132408,2004-05-10,NULL,,Remote,NULL,NULL,55
00-8719634,Melanie,Rylands,1972-03-12,male,Accounting,123177,2016-11-17,"2031-07-20 12:13:53",,Hybrid,2031-07-20,12:13:53,51
00-8734191,Timothea,Summergill,1983-12-11,female,Training,93956,2004-08-27,NULL,,Remote,NULL,NULL,39
00-8772885,Thorn,Kidston,1967-10-15,male,Engineering,95230,2017-11-22,"2022-03-26 06:01:47",,Hybrid,2022-03-26,06:01:47,56
00-8823459,Irvine,Shillinglaw,1997-11-15,male,Engineering,172924,2001-09-30,NULL,,Remote,NULL,NULL,26
00-8842682,Lissi,Copcote,1993-01-21,female,Engineering,176373,2016-08-05,NULL,,Hybrid,NULL,NULL,30
00-8912428,Brana,Gwin,1979-05-20,male,Accounting,96168,2019-07-15,NULL,,Hybrid,NULL,NULL,44
00-8960230,Mohandis,Piecha,1995-10-04,female,Engineering,170790,2007-05-04,NULL,,Hybrid,NULL,NULL,28
00-9028931,Caressa,"Van Leeuwen",1976-07-14,female,Engineering,138682,2018-12-02,NULL,,Hybrid,NULL,NULL,47
00-9061522,Garrard,Oakenfull,1996-06-13,male,Sales,141948,2020-10-01,NULL,,Remote,NULL,NULL,27
00-9089278,Chrissy,Zamudio,1987-03-09,male,Services,73289,2006-02-22,NULL,,Hybrid,NULL,NULL,36
00-9125378,Rosie,Denyakin,1979-12-31,female,Engineering,154987,2020-06-30,NULL,,Remote,NULL,NULL,43
00-9129949,Margery,Darbyshire,1989-06-07,male,Training,103376,2015-04-20,NULL,,Hybrid,NULL,NULL,34
00-9148951,Sybilla,Oleszkiewicz,1970-10-17,female,Accounting,76378,2012-09-03,NULL,,Hybrid,NULL,NULL,53
00-9220924,Chrysler,Brekonridge,1979-12-17,male,Engineering,99239,2004-09-29,NULL,,Remote,NULL,NULL,43
00-9244844,Roselin,Warke,1991-03-04,female,Services,105489,2009-03-31,NULL,,Remote,NULL,NULL,32
00-9248315,Lettie,Shute,1981-05-02,female,Engineering,157248,2012-05-18,NULL,,Hybrid,NULL,NULL,42
00-9256735,Alphonse,Horsewood,1997-03-06,female,Engineering,123684,2001-09-16,NULL,,Remote,NULL,NULL,26
00-9261338,Sharline,Andrzej,1974-01-17,male,Accounting,158433,2009-05-19,NULL,,Remote,NULL,NULL,49
00-9351773,Liesa,Melling,1997-05-16,female,Auditing,166453,2008-10-30,NULL,,Hybrid,NULL,NULL,26
00-9358294,Dale,Whitland,2000-12-04,male,Accounting,142805,2005-08-03,NULL,,Hybrid,NULL,NULL,22
00-9378033,Mechelle,Waggatt,1977-03-08,female,"Human Resources",157155,2016-03-14,NULL,,Hybrid,NULL,NULL,46
00-9436631,Curr,"De Biasi",2000-01-25,female,"Business Development",101604,2008-09-06,NULL,,Remote,NULL,NULL,23
00-9445290,Audra,Burdus,1978-07-23,male,Services,101710,2010-01-21,NULL,,Remote,NULL,NULL,45
00-9477913,Merlina,Laing,1986-04-02,female,Engineering,152098,2009-01-27,NULL,,Hybrid,NULL,NULL,37
00-9519379,Lorianna,Hayley,1993-05-30,male,Engineering,146324,2012-10-01,NULL,,Remote,NULL,NULL,30
00-9624016,Carina,Finan,1997-03-18,female,Engineering,183905,2015-10-07,NULL,,Remote,NULL,NULL,26
00-9627775,Nana,Grimme,1973-02-23,male,"Product Management",151834,2018-09-02,NULL,,Remote,NULL,NULL,50
00-9700945,Zora,Peller,1980-09-25,male,Accounting,118772,2012-08-02,NULL,,Remote,NULL,NULL,43
00-9731481,Kelbee,Noni,1992-03-18,female,Engineering,102047,2020-06-03,"2036-12-06 16:11:08",,Hybrid,2036-12-06,16:11:08,31
00-9763187,Amandy,Lafferty,1984-07-23,male,Marketing,147523,2017-01-28,NULL,,Hybrid,NULL,NULL,39
